global_region_id,region,atlas_number
100,1/2,348
101,1/2,348
102,1/2,348
103,1/2,348
104,1/2,348
105,1/2,348
111,10mc,312
110,10mc,312
109,10mc,312
108,10mc,312
107,10mc,312
106,10mc,312
112,10mr,345
113,10mr,345
114,10mr,345
115,10mr,345
116,10mr,345
117,10mr,345
118,10o,327
119,10o,327
120,10o,327
121,10o,327
122,10o,327
123,10o,327
124,11l,301
125,11l,301
126,11l,301
129,11l,301
128,11l,301
127,11l,301
130,11m,412
131,11m,412
132,11m,412
133,11m,412
134,11m,412
135,11m,412
141,12l,431
140,12l,431
139,12l,431
138,12l,431
137,12l,431
136,12l,431
142,12m,353
143,12m,353
144,12m,353
145,12m,353
146,12m,353
147,12m,353
153,12o,448
152,12o,448
151,12o,448
150,12o,448
149,12o,448
148,12o,448
159,12r,405
158,12r,405
157,12r,405
156,12r,405
155,12r,405
154,12r,405
160,13a,367
161,13a,367
162,13a,367
163,13a,367
164,13a,367
165,13b,306
166,13b,306
167,13b,306
168,13b,306
169,13b,306
174,13l,316
173,13l,316
172,13l,316
171,13l,316
170,13l,316
175,13m,363
176,13m,363
177,13m,363
178,13m,363
179,13m,363
180,14c,486
181,14c,486
182,14c,486
183,14c,486
184,14c,486
185,14r,303
186,14r,303
187,14r,303
188,14r,303
189,14r,303
190,23a,325
191,23a,325
192,23a,325
193,23a,325
194,23a,325
195,23a,325
201,23b,362
200,23b,362
199,23b,362
198,23b,362
197,23b,362
196,23b,362
207,23c,383
206,23c,383
205,23c,383
204,23c,383
203,23c,383
202,23c,383
217,24a,484
216,24a,484
215,24a,484
214,24a,484
213,24a,484
208,24a',309
209,24a',309
210,24a',309
211,24a',309
212,24a',309
227,24b,347
226,24b,347
225,24b,347
224,24b,347
223,24b,347
218,24b',483
219,24b',483
220,24b',483
221,24b',483
222,24b',483
237,24c,396
236,24c,396
235,24c,396
234,24c,396
233,24c,396
232,24c',485
231,24c',485
230,24c',485
229,24c',485
228,24c',485
238,25,415
239,25,415
240,25,415
241,25,415
242,25,415
243,29,314
244,29,314
245,29,314
246,29,314
247,29,314
248,30,482
249,30,482
250,30,482
252,30,482
253,30,482
251,30,482
254,31,321
255,31,321
256,31,321
257,31,321
258,31,321
259,31,321
264,32,343
263,32,343
262,32,343
261,32,343
260,32,343
265,35,377
266,35,377
267,35,377
268,35,377
269,35,377
275,36c,308
274,36c,308
273,36c,308
272,36c,308
271,36c,308
270,36c,308
281,36p,410
276,36p,410
277,36p,410
278,36p,410
279,36p,410
280,36p,410
282,36r,430
283,36r,430
284,36r,430
285,36r,430
286,36r,430
287,36r,430
293,3a/b,435
292,3a/b,435
291,3a/b,435
290,3a/b,435
289,3a/b,435
288,3a/b,435
298,44,392
297,44,392
296,44,392
295,44,392
294,44,392
299,45a,422
300,45a,422
301,45a,422
302,45a,422
303,45a,422
304,45a,422
305,45b,441
306,45b,441
307,45b,441
308,45b,441
309,45b,441
310,45b,441
316,46d,425
315,46d,425
314,46d,425
313,46d,425
312,46d,425
311,46d,425
322,46v,374
321,46v,374
320,46v,374
319,46v,374
318,46v,374
317,46v,374
323,7op,336
324,7op,336
325,7op,336
326,7op,336
327,7op,336
328,7op,336
329,8Ad,446
330,8Ad,446
331,8Ad,446
332,8Ad,446
333,8Ad,446
334,8Ad,446
335,8Av,349
336,8Av,349
337,8Av,349
338,8Av,349
339,8Av,349
340,8Av,349
345,8Bd,355
344,8Bd,355
343,8Bd,355
342,8Bd,355
341,8Bd,355
346,8Bm,300
347,8Bm,300
348,8Bm,300
349,8Bm,300
350,8Bm,300
355,8Bs,330
354,8Bs,330
353,8Bs,330
352,8Bs,330
351,8Bs,330
356,9d,335
357,9d,335
358,9d,335
359,9d,335
360,9d,335
361,9d,335
362,9m,364
363,9m,364
364,9m,364
365,9m,364
366,9m,364
367,9m,364
374,AI,378
375,AI,378
376,AI,378
377,AI,378
378,AI,378
379,AI,378
385,AIP,409
384,AIP,409
383,AIP,409
382,AIP,409
381,AIP,409
380,AIP,409
391,AL,344
390,AL,344
389,AL,344
388,AL,344
387,AL,344
386,AL,344
410,CL,453
409,CL,453
408,CL,453
407,CL,453
406,CL,453
405,CL,453
411,CM,449
412,CM,449
413,CM,449
414,CM,449
415,CM,449
416,CM,449
422,CPB,313
423,CPB,313
424,CPB,313
425,CPB,313
421,CPB,313
420,CPB,313
429,DP,404
430,DP,404
434,DP,404
433,DP,404
432,DP,404
431,DP,404
439,EC,384
438,EC,384
437,EC,384
436,EC,384
435,EC,384
444,ECL,350
443,ECL,350
442,ECL,350
441,ECL,350
440,ECL,350
445,EI,365
446,EI,365
447,EI,365
448,EI,365
449,EI,365
454,ELc,467
453,ELc,467
452,ELc,467
451,ELc,467
450,ELc,467
455,ELr,464
456,ELr,464
457,ELr,464
458,ELr,464
459,ELr,464
460,EO,492
461,EO,492
462,EO,492
463,EO,492
464,EO,492
465,ER,326
466,ER,326
467,ER,326
468,ER,326
469,ER,326
475,F1,359
474,F1,359
473,F1,359
472,F1,359
471,F1,359
480,F2,451
479,F2,451
478,F2,451
477,F2,451
476,F2,451
481,F3,369
482,F3,369
483,F3,369
484,F3,369
485,F3,369
490,F4,444
489,F4,444
488,F4,444
487,F4,444
486,F4,444
491,F5,427
492,F5,427
493,F5,427
494,F5,427
495,F5,427
496,F6,401
497,F6,401
498,F6,401
499,F6,401
500,F6,401
501,F7,424
502,F7,424
503,F7,424
504,F7,424
505,F7,424
506,FST,351
507,FST,351
508,FST,351
509,FST,351
510,FST,351
511,FST,351
512,G,333
513,G,333
514,G,333
515,G,333
516,G,333
517,G,333
531,IPa,463
530,IPa,463
529,IPa,463
528,IPa,463
527,IPa,463
526,IPa,463
537,Ia,305
536,Ia,305
535,Ia,305
534,Ia,305
533,Ia,305
538,Iai,426
539,Iai,426
540,Iai,426
541,Iai,426
542,Iai,426
543,Ial,379
544,Ial,379
545,Ial,379
546,Ial,379
547,Ial,379
548,Iam,360
549,Iam,360
550,Iam,360
551,Iam,360
552,Iam,360
557,Iapl,516
556,Iapl,516
555,Iapl,516
554,Iapl,516
553,Iapl,516
558,Iapm,417
559,Iapm,417
560,Iapm,417
561,Iapm,417
562,Iapm,417
563,Id,385
564,Id,385
565,Id,385
567,Id,385
568,Id,385
566,Id,385
574,Ig,322
573,Ig,322
572,Ig,322
571,Ig,322
570,Ig,322
569,Ig,322
585,LIPd,428
584,LIPd,428
583,LIPd,428
582,LIPd,428
581,LIPd,428
580,LIPd,428
591,LIPv,329
590,LIPv,329
589,LIPv,329
588,LIPv,329
587,LIPv,329
586,LIPv,329
598,LOP,411
597,LOP,411
596,LOP,411
595,LOP,411
594,LOP,411
593,LOP,411
610,MIP,387
611,MIP,387
612,MIP,387
613,MIP,387
614,MIP,387
615,MIP,387
616,ML,323
617,ML,323
618,ML,323
619,ML,323
620,ML,323
621,ML,323
629,MST,397
628,MST,397
627,MST,397
626,MST,397
625,MST,397
624,MST,397
635,MT,393
634,MT,393
633,MT,393
632,MT,393
631,MT,393
630,MT,393
643,Opt,419
644,Opt,419
645,Opt,419
646,Opt,419
647,Opt,419
648,Opt,419
655,PE,341
656,PE,341
657,PE,341
658,PE,341
659,PE,341
660,PE,341
666,PEa,432
665,PEa,432
664,PEa,432
663,PEa,432
662,PEa,432
661,PEa,432
672,PEc,375
671,PEc,375
670,PEc,375
669,PEc,375
668,PEc,375
667,PEc,375
673,PEci,407
674,PEci,407
675,PEci,407
676,PEci,407
677,PEci,407
678,PEci,407
679,PF,389
680,PF,389
681,PF,389
682,PF,389
683,PF,389
684,PF,389
685,PFG,389
686,PFG,389
687,PFG,389
688,PFG,389
689,PFG,389
690,PFG,389
691,PG,419
692,PG,419
693,PG,419
694,PG,419
695,PG,419
696,PG,419
702,PGa,443
701,PGa,443
700,PGa,443
699,PGa,443
698,PGa,443
697,PGa,443
708,PGm,380
707,PGm,380
706,PGm,380
705,PGm,380
704,PGm,380
703,PGm,380
716,PIP,388
715,PIP,388
714,PIP,388
713,PIP,388
712,PIP,388
711,PIP,388
731,Pi,400
730,Pi,400
729,Pi,400
728,Pi,400
727,Pi,400
732,Pir,416
733,Pir,416
734,Pir,416
735,Pir,416
736,Pir,416
737,PrCO,406
738,PrCO,406
739,PrCO,406
740,PrCO,406
741,PrCO,406
747,R,370
746,R,370
745,R,370
744,R,370
743,R,370
742,R,370
753,RM,398
752,RM,398
751,RM,398
750,RM,398
749,RM,398
748,RM,398
755,RPB,366
756,RPB,366
757,RPB,366
758,RPB,366
759,RPB,366
760,RPB,366
761,RT,418
762,RT,418
763,RT,418
764,RT,418
765,RT,418
766,RT,418
772,RTL,447
771,RTL,447
770,RTL,447
769,RTL,447
768,RTL,447
767,RTL,447
778,RTM,434
777,RTM,434
776,RTM,434
775,RTM,434
774,RTM,434
773,RTM,434
784,RTp,413
783,RTp,413
782,RTp,413
781,RTp,413
780,RTp,413
779,RTp,413
791,Ri,522
790,Ri,522
789,Ri,522
788,Ri,522
787,Ri,522
786,Ri,522
794,SII,361
795,SII,361
796,SII,361
797,SII,361
798,SII,361
799,SII,361
802,STGr,399
803,STGr,399
804,STGr,399
805,STGr,399
806,STGr,399
807,STGr,399
810,TAa,450
811,TAa,450
812,TAa,450
813,TAa,450
814,TAa,450
815,TAa,450
816,TEO,423
817,TEO,423
818,TEO,423
819,TEO,423
820,TEO,423
821,TEO,423
827,TEa,458
826,TEa,458
825,TEa,458
824,TEa,458
823,TEa,458
822,TEa,458
828,TEad,442
829,TEad,442
830,TEad,442
831,TEad,442
832,TEad,442
833,TEad,442
834,TEav,342
835,TEav,342
836,TEav,342
837,TEav,342
838,TEav,342
839,TEav,342
845,TEm,394
844,TEm,394
843,TEm,394
842,TEm,394
841,TEm,394
840,TEm,394
846,TEpd,390
847,TEpd,390
848,TEpd,390
849,TEpd,390
850,TEpd,390
851,TEpd,390
854,TEpv,420
852,TEpv,420
853,TEpv,420
855,TEpv,420
856,TEpv,420
857,TEpv,420
858,TF,440
859,TF,440
860,TF,440
861,TF,440
862,TF,440
863,TF,440
864,TFO,372
865,TFO,372
866,TFO,372
867,TFO,372
868,TFO,372
869,TFO,372
874,TGa,438
873,TGa,438
872,TGa,438
871,TGa,438
870,TGa,438
879,TGdd,376
878,TGdd,376
877,TGdd,376
876,TGdd,376
875,TGdd,376
880,TGdg,408
881,TGdg,408
882,TGdg,408
883,TGdg,408
884,TGdg,408
885,TGdg,408
891,TGsts,433
890,TGsts,433
889,TGsts,433
888,TGsts,433
887,TGsts,433
886,TGsts,433
892,TGvd,357
893,TGvd,357
894,TGvd,357
895,TGvd,357
896,TGvd,357
897,TGvg,452
898,TGvg,452
899,TGvg,452
900,TGvg,452
901,TGvg,452
902,TGvg,452
903,TH,493
904,TH,493
905,TH,493
906,TH,493
907,TH,493
910,TPO,457
911,TPO,457
912,TPO,457
913,TPO,457
914,TPO,457
915,TPO,457
916,Tpt,395
917,Tpt,395
918,Tpt,395
919,Tpt,395
920,Tpt,395
921,Tpt,395
928,V1,332
927,V1,332
926,V1,332
925,V1,332
924,V1,332
923,V1,332
929,V2,429
930,V2,429
931,V2,429
932,V2,429
933,V2,429
934,V2,429
935,V3A,421
936,V3A,421
937,V3A,421
938,V3A,421
939,V3A,421
940,V3A,421
941,V3d,358
942,V3d,358
943,V3d,358
944,V3d,358
945,V3d,358
946,V3d,358
952,V3v,391
947,V3v,391
951,V3v,391
948,V3v,391
949,V3v,391
950,V3v,391
953,V4,318
954,V4,318
955,V4,318
956,V4,318
957,V4,318
958,V4,318
964,V4t,337
963,V4t,337
962,V4t,337
961,V4t,337
960,V4t,337
959,V4t,337
970,V4v,373
969,V4v,373
968,V4v,373
967,V4v,373
966,V4v,373
965,V4v,373
971,V6,371
972,V6,371
973,V6,371
974,V6,371
975,V6,371
976,V6,371
977,V6Ad,439
978,V6Ad,439
979,V6Ad,439
980,V6Ad,439
981,V6Ad,439
982,V6Ad,439
983,V6Av,354
984,V6Av,354
985,V6Av,354
986,V6Av,354
987,V6Av,354
988,V6Av,354
996,VIP,328
995,VIP,328
994,VIP,328
993,VIP,328
992,VIP,328
991,VIP,328
1026,v23b,315
1027,v23b,315
1028,v23b,315
1029,v23b,315
1030,v23b,315
1031,v23b,315
